StockID,SharpRation_Mean_pos,SharpRation_StD_pos,SharpRation_Mean_neg,SharpRation_StD_neg
2883,1.8034237036657172,2.124053576696192,-1.3693532317593045,1.6066307174291588
2890,1.0498277610775606,0.8085624737516429,-1.0822997968869021,1.1064958455671996
1905,3.6210499665195033,3.0200318254539527,-3.075198122224334,2.785787842968742
2614,1.5850853532596514,2.1912705198072833,-1.3757959112989349,1.4354533224553847
2618,2.624223443978114,2.565026514335409,-2.364332626771554,2.1014508234040545
2610,3.478145647684075,2.55915905655917,-2.8147737682782226,2.5734928205873064
2412,0.6815983559040377,0.3409860059800503,-0.8231040387079046,0.38087386699607867
3682,1.207830562414345,1.3598884075277489,-1.4036302138144041,1.7783006401094263
2731,2.017080608127034,2.2613012113405517,-1.5450405331209796,1.3125806882439224
2705,1.6619528193941233,1.479535411832175,-1.670761547792466,2.0408416110356353
3380,1.9915267139071515,2.2430785084141833,-2.741904012062064,2.056510091401762
2408,2.110187172666996,2.0833779298605726,-2.105749710864424,1.5885429777802156
3704,2.406075723398432,2.358919222362836,-2.7355293836056376,2.40433966651366
